gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
ESPORTSTMNT03/1241318,SANDBOX Gaming,2020-01-03 07:33:26,1,21953.0,27219.0,507.0,-825.0,-1665.0,-12.0,0.0,0.0,1.0
ESPORTSTMNT03/1241318,T1,2020-01-03 07:33:26,0,22778.0,28884.0,519.0,825.0,1665.0,12.0,1.0,2.0,0.0
ESPORTSTMNT03/1241322,T1,2020-01-03 09:00:58,0,21714.0,26869.0,501.0,-5484.0,-4833.0,-56.0,0.0,0.0,6.0
ESPORTSTMNT03/1241322,SANDBOX Gaming,2020-01-03 09:00:58,1,27198.0,31702.0,557.0,5484.0,4833.0,56.0,6.0,7.0,0.0
ESPORTSTMNT03/1241324,T1,2020-01-03 10:05:17,1,24882.0,30349.0,584.0,2566.0,2097.0,53.0,0.0,0.0,0.0
ESPORTSTMNT03/1241324,SANDBOX Gaming,2020-01-03 10:05:17,0,22316.0,28252.0,531.0,-2566.0,-2097.0,-53.0,0.0,0.0,0.0
ESPORTSTMNT03/1241328,T1,2020-01-03 10:57:28,0,22329.0,26093.0,465.0,-2471.0,-3064.0,-70.0,2.0,3.0,5.0
ESPORTSTMNT03/1241328,SANDBOX Gaming,2020-01-03 10:57:28,1,24800.0,29157.0,535.0,2471.0,3064.0,70.0,5.0,9.0,2.0
ESPORTSTMNT03/1241386,DRX,2020-01-04 05:33:33,0,24644.0,29576.0,550.0,877.0,205.0,26.0,0.0,0.0,3.0
ESPORTSTMNT03/1241386,Afreeca Freecs,2020-01-04 05:33:33,1,23767.0,29371.0,524.0,-877.0,-205.0,-26.0,3.0,7.0,0.0
ESPORTSTMNT03/1241394,Afreeca Freecs,2020-01-04 06:55:30,1,25610.0,30131.0,526.0,2387.0,203.0,-13.0,4.0,12.0,2.0
ESPORTSTMNT03/1241394,DRX,2020-01-04 06:55:30,0,23223.0,29928.0,539.0,-2387.0,-203.0,13.0,2.0,5.0,4.0
ESPORTSTMNT03/1241396,Afreeca Freecs,2020-01-04 07:43:09,1,24288.0,28314.0,504.0,-888.0,-1983.0,-66.0,3.0,5.0,2.0
